======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 40                  12                 12
 21                  16                 16
 36                   7                  7
  7                   0                  0
 22                  30                 30
 26                  14                 14

======================================== [24] 2025-12-02 17:15:15
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  15                 15
 31                  26                 26
 23                  50                 50
 20                   4                  4
 34                  38                 38
 16                   4                  4
 13                   5                  5
 10                   2                  2
 38                   3                  3
 28                  41                 41
 25                   5                  5
 14                   7                  7
 44                  50                 50
 43                  20                 20
 29                  24                 24
 37                  14                 14
  8                   0                  0
  5                   0                  0
 17                  21                 21
 30                  43                 43
  1                   0                  0
 27                  37                 37
 24                  15                 15
 15                  27                 27
  2                   0                  0
 33                  17                 17
  4                   0                  0
  6                   0                  0
 35                  58                 58
  3                   0                  0
 32                  26                 26
 39                  15                 15
  0                   0                  0
  9                  37                 37
 12                  12                 12
 18                  16                 16
 19                  23                 23
 42                  27                 27
 11                  26                 26
 40                  21                 21
 21                  33                 33
 36                   2                  2
  7                   0                  0
 22                  38                 38
 26                  11                 11

======================================== [25] 2025-12-02 17:15:22
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  17                 17
 31                  15                 15
 23                  34                 34
 20                  13                 13
 34                  21                 21
 16                  21                 21
 13                  37                 37
 10                  20                 20
 38                  26                 26
 28                  27                 27
 25                  12                 12
 14                  13                 13
 44                   3                  3
 43                  18                 18
 29                  20                 20
 37                  36                 36
  8                   0                  0
  5                   0                  0
 17                  14                 14
 30                  16                 16
  1                   0                  0
 27                   8                  8
 24                  31                 31
 15                  27                 27
  2                   0                  0
 33                   3                  3
  4                   0                  0
  6                   0                  0
 35                  16                 16
  3                   0                  0
 32                  16                 16
 39                  48                 48
  0                   0                  0
  9                  12                 12
 12                   6                  6
 18                  25                 25
 19                  26                 26
 42                  24                 24
 11                  39                 39
 40                  10                 10
 21                  50                 50
 36                  33                 33
  7                   0                  0
 22                  55                 55
 26                   3                  3

======================================== [26] 2025-12-02 17:15:29
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  14                 14
 31                  26                 26
 23                  39                 39
 20                  14                 14
 34                  27                 27
 16                  55                 55
 13                  18                 18
 10                  12                 12
 38                  25                 25
 28                  48                 48
 25                  10                 10
 14                  17                 17
 44                  33                 33
 43                  23                 23
 29                  13                 13
 37                  17                 17
  8                   0                  0
  5                   0                  0
 17                   3                  3
 30                  47                 47
  1                   0                  0
 27                  26                 26
 24                  36                 36
 15                  19                 19
  2                   0                  0
 33                  28                 28
  4                   0                  0
  6                   0                  0
 35                  26                 26
  3                   0                  0
 32                   9                  9
 39                  40                 40
  0                   0                  0
  9                   1                  1
 12                  10                 10
 18                  16                 16
 19                  19                 19
 42                  27                 27
 11                  20                 20
 40                  18                 18
 21                  25                 25
 36                  40                 40
  7                   0                  0
 22                  34                 34
 26                  10                 10

======================================== [27] 2025-12-02 17:15:36
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   9                  9
 31                  33                 33
 23                  50                 50
 20                  16                 16
 34                  23                 23
 16                  30                 30
 13                  29                 29
 10                  22                 22
 38                  36                 36
 28                  15                 15
 25                  28                 28
 14                  37                 37
 44                  13                 13
 43                  19                 19
 29                  27                 27
 37                  27                 27
  8                   0                  0
  5                   0                  0
 17                   9                  9
 30                  27                 27
  1                   0                  0
 27                  23                 23
 24                  28                 28
 15                   5                  5
  2                   0                  0
 33                  22                 22
  4                   0                  0
  6                   0                  0
 35                  42                 42
  3                   0                  0
 32                  11                 11
 39                  18                 18
  0                   0                  0
  9                  16                 16
 12                   9                  9
 18                  54                 54
 19                  45                 45
 42                  24                 24
 11                   7                  7
 40                  17                 17
 21                  30                 30
 36                  19                 19
  7                   0                  0
 22                  20                 20
 26                  19                 19

======================================== [28] 2025-12-02 17:15:43
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  28                 28
 31                   9                  9
 23                  18                 18
 20                  21                 21
 34                  34                 34
 16                  36                 36
 13                   3                  3
 10                   5                  5
 38                  41                 41
 28                  28                 28
 25                  19                 19
 14                  15                 15
 44                  26                 26
 43                  18                 18
 29                  22                 22
 37                  22                 22
  8                   0                  0
  5                   0                  0
 17                  22                 22
 30                  18                 18
  1                   0                  0
 27                  30                 30
 24                   5                  5
 15                  28                 28
  2                   0                  0
 33                  11                 11
  4                   0                  0
  6                   0                  0
 35                  18                 18
  3                   0                  0
 32                  14                 14
 39                  14                 14
  0                   0                  0
  9                  55                 55
 12                  24                 24
 18                   7                  7
 19                  41                 41
 42                  19                 19
 11                  42                 42
 40                  29                 29
 21                  37                 37
 36                  26                 26
  7                   0                  0
 22                  13                 13
 26                  12                 12

======================================== [29] 2025-12-02 17:15:50
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  47                 47
 31                  33                 33
 23                  31                 31
 20                  27                 27
 34                  40                 40
 16                  33                 33
 13                  18                 18
 10                  37                 37
 38                  15                 15
 28                   6                  6
 25                  13                 13
 14                  15                 15
 44                  11                 11
 43                   8                  8
 29                  31                 31
 37                  13                 13
  8                   0                  0
  5                   0                  0
 17                   1                  1
 30                  13                 13
  1                   0                  0
 27                  31                 31
 24                  14                 14
 15                  22                 22
  2                   0                  0
 33                  13                 13
  4                   0                  0
  6                   0                  0
 35                  11                 11
  3                   0                  0
 32                  26                 26
 39                  19                 19
  0                   0                  0
  9                  13                 13
 12                  38                 38
 18                  45                 45
 19                  27                 27
 42                  13                 13
 11                  22                 22
 40                  25                 25
 21                  31                 31
 36                  38                 38
  7                   0                  0
 22                  47                 47
 26                   6                  6

======================================== [30] 2025-12-02 17:15:56
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  50                 50
 31                   9                  9
 23                  26                 26
 20                  43                 43
 34                  19                 19
 16                  15                 15
 13                  26                 26
 10                   5                  5
 38                  26                 26
 28                  31                 31
 25                  23                 23
 14                  20                 20
 44                  10                 10
 43                  14                 14
 29                  37                 37
 37                   4                  4
  8                   0                  0
  5                   0                  0
 17                  14                 14
 30                  28                 28
  1                   0                  0
 27                   8                  8
 24                  26                 26
 15                   8                  8
  2                   0                  0
 33                  21                 21
  4                   0                  0
  6                   0                  0
 35                  14                 14
  3                   0                  0
 32                  35                 35
 39                  36                 36
  0                   0                  0
